Id,SalaryNormalized
29570312,20048.573519620408
29571471,19394.292893625596
34387510,16706.183549121375
49628621,19430.884843458189
49628629,19278.524981855735
52951726,19682.158205897606
53243383,22346.115456910404
55913972,17071.332445282918
61416145,23973.920955916365
64150419,23099.725478805907
64595442,20356.391958037151
64835361,31946.348217666022
64835363,31946.348217666022
65184670,42938.605053932661
65184752,30788.194094571809
65211163,21784.616687185389
65913585,31097.362646554455
65913618,25573.270267161544
65913686,19287.033998327242
66159773,28159.591632962085
66204807,21924.588746731322
66436343,20356.391958037151
66544942,20526.065362396828
66544945,27118.47981712667
66558083,17697.275473724258
66574327,21022.03517792029
66584933,23625.537388614124
66584935,23724.224986608526
66584937,28674.075147329106
66584938,19457.746100748729
66586353,24056.881305922681
66607819,25603.587108834112
66624426,19650.817444705546
66904521,40388.312755769126
66904551,26726.834356830499
66904719,33397.572174762427
66995226,22107.893772384818
67055094,26781.570842279023
67173462,22655.376528513469
67182816,28608.573373481846
67182824,23453.367710908009
67183647,20625.92468671839
67199272,20662.826968896617
67199276,23888.891543279798
67199301,25131.496260613949
67325883,26500.77103068932
67644984,22276.389874676181
67926494,21065.10702590182
67926549,22771.126645504584
67926890,20126.753443331283
67927283,21022.03517792029
68061070,30157.232449544626
68087450,16669.59844428721
68087469,16669.59844428721
68095716,14211.299884068856
68095724,18833.155230196247
68095732,16366.285995897744
68099697,25509.906267283073
68099806,21179.062205454778
68224264,19875.246838599414
68262526,26000.315745921624
68264159,24703.991308087025
68264726,20299.913613401637
68265927,24059.488871095065
68285383,27186.96254742119
68285433,23304.072184316563
68285468,20702.526618004755
68285560,23513.708262889479
68290710,22679.68519279089
68507083,21249.720755353686
68507552,28168.338375427964
68507595,44140.032073638664
68587058,18509.386437382509
68589250,24679.590902672353
68589255,23466.901372676693
68589281,23444.715226361153
68589284,22874.796819055573
68589354,22717.656881581286
68589362,20699.853842549473
68589482,19260.543550563096
68589496,29629.084061304344
68589537,27749.095254281903
68589557,24579.004323820005
68665721,21517.397108880661
68665778,21834.814916817068
68667559,30024.973756962896
68668014,19908.159120483884
68668055,19243.176412143399
68668115,27445.802130059346
68669044,24052.088508453446
68669051,20688.611016128321
68669238,31853.658029414506
68671191,28441.799105110284
68671997,21071.751439542684
68672701,29543.024496460341
68672856,23302.465916998888
68673215,22553.527095878089
68674067,36595.798389493932
68674154,20593.656503459166
68676821,25290.488096524212
68677072,16555.77571817593
68677269,27552.894422708778
68679843,26798.375086666852
68680197,27251.654916954758
68680236,31983.63947668019
68682073,33974.076926125788
68682230,23828.239054228452
68682250,19447.034178280919
68682298,18724.302992249894
68683263,25164.9827761454
68683848,28000.697447576014
68683941,32269.250555149833
68685008,24505.658620016227
68685076,23612.047207688134
68685085,24933.944871843447
68685719,37087.89232074334
68686535,26105.174555653066
68687291,21120.146298014159
68687391,18268.617061095225
68688452,19467.29439335431
68688914,25030.24799491918
68688954,18395.942280376716
68689137,23561.613538294354
68689659,21036.248777562207
68689773,19828.96489150152
68690156,17375.884895552172
68690508,36598.483607556926
68690566,23228.819925608957
68690690,25970.417859775884
68691121,23011.277477232426
68691526,23492.311329508182
68691534,29613.813805060796
68691799,17883.824804138079
68691870,25567.89835812536
68691990,20963.008359725827
68692029,21627.365022922233
68692180,24480.030944505317
68692364,26228.835699018709
68692369,22202.768480768784
68692850,19057.399136239303
68692862,24890.173354479739
68693427,21789.88895021303
68693455,20106.495119356845
68694251,25564.123885995035
68695110,18623.332598267327
